"SYMBOL","NAME OF COMPANY"," SERIES"," DATE OF LISTING"," PAID UP VALUE"," MARKET LOT"," ISIN NUMBER"," FACE VALUE"
"VINDHYATEL","Vindhya Telelinks Limited","EQ","08-FEB-1995",10,1,"INE707A01012",10
"VINYLINDIA","Vinyl Chemicals (India) Limited","EQ","21-JUL-2008",1,1,"INE250B01029",1
"VIPIND","VIP Industries Limited","EQ","02-MAR-2005",10,1,"INE054A01019",10
"VIPUL","Vipul Limited","EQ","08-JAN-2010",1,1,"INE946H01037",1
"VISAKAIND","Visaka Industries Limited","EQ","28-AUG-1996",10,1,"INE392A01013",10
"VISASTEEL","Visa Steel Limited","EQ","17-MAR-2006",10,1,"INE286H01012",10
"VISESHINFO","Visesh Infotecnics Limited","EQ","14-JAN-2000",10,1,"INE861A01017",10
"VISHALRET","Vishal Retail Limited","EQ","04-JUL-2007",10,1,"INE945H01013",10
"VISUINTL","Visu International Limited","EQ","29-DEC-2006",10,1,"INE965A01016",10
"VIVIMEDLAB","Vivimed Labs Limited","EQ","17-AUG-2005",10,1,"INE526G01013",10
"VLSFINANCE","VLS Finance Limited","EQ","25-MAY-1995",10,1,"INE709A01018",10
"VOLTAMP","Voltamp Transformers Limited","EQ","20-SEP-2006",10,1,"INE540H01012",10
"VOLTAS","Voltas Limited","EQ","12-APR-1995",1,1,"INE226A01021",1
"VSTIND","VST Industries Limited","EQ","05-SEP-2003",10,1,"INE710A01016",10
"VTL","Vardhman Textiles Limited","EQ","14-JAN-2003",10,1,"INE825A01012",10
"WABAG","VA Tech Wabag Limited","EQ","13-OCT-2010",5,1,"INE956G01020",5
"WABCO-TVS","WABCO-TVS (INDIA) Limited","EQ","01-OCT-2008",5,1,"INE342J01019",5
"WALCHANNAG","Walchandnagar Industries Limited","EQ","18-SEP-1996",2,1,"INE711A01022",2
"WANBURY","Wanbury Limited","EQ","29-JAN-2007",10,1,"INE107F01022",10
"WEBELSOLAR","Websol Energy Systems Limited","EQ","15-MAY-2007",10,1,"INE855C01015",10
"WEIZMANIND","Weizmann Limited","EQ","10-MAY-1995",10,1,"INE080A01014",10
"WELCORP","Welspun Corp Limited","EQ","24-MAY-2005",5,1,"INE191B01025",5
"WELINV","Welspun Investments and Commercials Limited","EQ","20-SEP-2010",10,1,"INE389K01018",10
"WELPROJ","Welspun Projects Limited","EQ","04-NOV-2004",10,1,"INE625G01013",10
"WELSPUNIND","Welspun India Limited","EQ","04-DEC-2003",10,1,"INE192B01023",10
"WENDT","Wendt (India) Limited","EQ","07-AUG-2006",10,1,"INE274C01019",10
"WHEELS","Wheels India Limited","EQ","07-APR-2000",10,1,"INE715A01015",10
"WHIRLPOOL","Whirlpool of India Limited","EQ","06-APR-2010",10,1,"INE716A01013",10
"WILLAMAGOR","Williamson Magor & Company Limited","EQ","08-FEB-1995",10,1,"INE210A01017",10
"WINDSOR","Windsor Machines Limited","EQ","20-SEP-1995",10,1,"INE052A01013",10
"WINSOMYARN","Winsome Yarns Limited","EQ","26-MAR-2002",1,1,"INE784B01027",1
"WIPRO","Wipro Limited","EQ","08-NOV-1995",2,1,"INE075A01022",2
"WSI","W S Industries (I) Limited","EQ","01-AUG-2007",10,1,"INE100D01014",10
"WSTCSTPAPR","West Coast Paper Mills Limited","EQ","17-JAN-2001",2,1,"INE976A01021",2
"WWIL","Wire and Wireless (India) Limited","EQ","10-JAN-2007",1,1,"INE965H01011",1
"WYETH","Wyeth Limited","EQ","08-JUL-1998",10,1,"INE378A01012",10
"XLENERGY","XL Energy Limited","EQ","28-DEC-2006",10,1,"INE183H01011",10
"XPROINDIA","Xpro India Limited","EQ","27-APR-2004",10,1,"INE445C01015",10
"YESBANK","Yes Bank Limited","EQ","12-JUL-2005",10,1,"INE528G01019",10
"ZANDUREALT","Zandu Realty Limited","EQ","03-FEB-1999",100,1,"INE719A01017",100
"ZEEL","Zee Entertainment Enterprises Limited","EQ","09-SEP-1998",1,1,"INE256A01028",1
"ZEENEWS","Zee News Limited","EQ","10-JAN-2007",1,1,"INE966H01019",1
"ZENITHBIR","Zenith Birla (India) Limited","EQ","30-APR-2007",10,1,"INE318D01020",10
"ZENITHCOMP","Zenith Computers Limited","EQ","10-MAY-2000",10,1,"INE598B01013",10
"ZENITHEXPO","Zenith Exports Limited","EQ","10-JUL-1996",10,1,"INE058B01018",10
"ZENITHINFO","Zenith Infotech Limited","EQ","09-FEB-2000",10,1,"INE899A01017",10
"ZENSARTECH","Zensar Technologies Limited","EQ","09-JUL-2003",10,1,"INE520A01019",10
"ZICOM","Zicom Electronic Security Systems Limited","EQ","18-APR-2006",10,1,"INE871B01014",10
"ZODIACLOTH","Zodiac Clothing Company Limited","EQ","27-SEP-1995",10,1,"INE206B01013",10
"ZODJRDMKJ","Zodiac JRD- MKJ Limited","EQ","19-JUL-1995",10,1,"INE077B01018",10
"ZUARIAGRO","Zuari Industries Limited","EQ","12-APR-1995",10,1,"INE217A01012",10
"ZYDUSWELL","Zydus Wellness Limited","EQ","13-NOV-2009",10,1,"INE768C01010",10
"ZYLOG","Zylog Systems Limited","EQ","17-AUG-2007",10,1,"INE225I01018",10
